State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
MI,MORT_30_HF,Death rate for heart failure patients,2.00 ,86.00 ,7.00 ,28.00 ,,07/01/2019,06/30/2022
TN,PSI_04,Death rate among surgical inpatients with serious treatable complications,2.00 ,33.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2021
TX,MORT_30_CABG,Death rate for CABG surgery patients,2.00 ,81.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2022
ID,MORT_30_COPD,Death rate for COPD patients,0.00 ,13.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2022
MO,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,50.00 ,0.00 ,28.00 ,,04/01/2019,03/31/2022
MO,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,35.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2021
NE,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,30.00 ,0.00 ,28.00 ,,04/01/2019,03/31/2022
NM,MORT_30_COPD,Death rate for COPD patients,0.00 ,12.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2022
NM,MORT_30_STK,Death rate for stroke patients,0.00 ,10.00 ,0.00 ,28.00 ,,07/01/2019,06/30/2022
AR,MORT_30_HF,Death rate for heart failure patients,6.00 ,40.00 ,1.00 ,27.00 ,,07/01/2019,06/30/2022
SC,PSI_04,Death rate among surgical inpatients with serious treatable complications,2.00 ,20.00 ,0.00 ,27.00 ,,07/01/2019,06/30/2021
WV,MORT_30_STK,Death rate for stroke patients,2.00 ,16.00 ,0.00 ,27.00 ,,07/01/2019,06/30/2022
NC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,60.00 ,1.00 ,27.00 ,,04/01/2019,03/31/2022
KY,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,30.00 ,0.00 ,27.00 ,,04/01/2019,03/31/2022
LA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,33.00 ,0.00 ,27.00 ,,04/01/2019,03/31/2022
SC,MORT_30_AMI,Death rate for heart attack patients,0.00 ,28.00 ,0.00 ,27.00 ,,07/01/2019,06/30/2022
VA,MORT_30_AMI,Death rate for heart attack patients,0.00 ,54.00 ,0.00 ,27.00 ,,07/01/2019,06/30/2022
NY,PSI_13,Postoperative sepsis rate,5.00 ,108.00 ,3.00 ,26.00 ,,07/01/2019,06/30/2021
FL,MORT_30_COPD,Death rate for COPD patients,2.00 ,158.00 ,1.00 ,26.00 ,,07/01/2019,06/30/2022
IA,MORT_30_PN,Death rate for pneumonia patients,2.00 ,90.00 ,0.00 ,26.00 ,,07/01/2019,06/30/2022
MI,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,46.00 ,0.00 ,26.00 ,,07/01/2019,06/30/2021
AZ,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,34.00 ,1.00 ,26.00 ,,04/01/2019,03/31/2022
IN,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,39.00 ,0.00 ,26.00 ,,07/01/2019,06/30/2021
KY,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,24.00 ,0.00 ,26.00 ,,07/01/2019,06/30/2021
IL,MORT_30_PN,Death rate for pneumonia patients,5.00 ,140.00 ,10.00 ,25.00 ,,07/01/2019,06/30/2022
AL,MORT_30_HF,Death rate for heart failure patients,4.00 ,54.00 ,3.00 ,25.00 ,,07/01/2019,06/30/2022
WA,MORT_30_PN,Death rate for pneumonia patients,3.00 ,59.00 ,3.00 ,25.00 ,,07/01/2019,06/30/2022
MA,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,27.00 ,0.00 ,25.00 ,,07/01/2019,06/30/2021
PA,MORT_30_HF,Death rate for heart failure patients,2.00 ,124.00 ,11.00 ,24.00 ,,07/01/2019,06/30/2022
OK,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,21.00 ,0.00 ,24.00 ,,07/01/2019,06/30/2021
ND,MORT_30_STK,Death rate for stroke patients,0.00 ,6.00 ,0.00 ,24.00 ,,07/01/2019,06/30/2022
NY,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,117.00 ,0.00 ,24.00 ,,07/01/2019,06/30/2021
NY,PSI_11,Postoperative respiratory failure rate,4.00 ,110.00 ,5.00 ,23.00 ,,07/01/2019,06/30/2021
IN,MORT_30_HF,Death rate for heart failure patients,3.00 ,85.00 ,1.00 ,23.00 ,,07/01/2019,06/30/2022
ID,MORT_30_HF,Death rate for heart failure patients,2.00 ,15.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
MI,MORT_30_PN,Death rate for pneumonia patients,1.00 ,94.00 ,9.00 ,23.00 ,,07/01/2019,06/30/2022
OH,MORT_30_HF,Death rate for heart failure patients,1.00 ,120.00 ,7.00 ,23.00 ,,07/01/2019,06/30/2022
AZ,MORT_30_AMI,Death rate for heart attack patients,0.00 ,39.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
AZ,MORT_30_HF,Death rate for heart failure patients,0.00 ,48.00 ,4.00 ,23.00 ,,07/01/2019,06/30/2022
CA,PSI_14,Postoperative wound dehiscence rate,0.00 ,262.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2021
CO,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,22.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2021
ID,MORT_30_AMI,Death rate for heart attack patients,0.00 ,10.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
ME,MORT_30_AMI,Death rate for heart attack patients,0.00 ,11.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
MT,MORT_30_AMI,Death rate for heart attack patients,0.00 ,10.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
ND,MORT_30_AMI,Death rate for heart attack patients,0.00 ,6.00 ,0.00 ,23.00 ,,07/01/2019,06/30/2022
PR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,5.00 ,0.00 ,23.00 ,,04/01/2019,03/31/2022
MS,MORT_30_PN,Death rate for pneumonia patients,7.00 ,62.00 ,0.00 ,22.00 ,,07/01/2019,06/30/2022
TX,PSI_09,Postoperative hemorrhage or hematoma rate,2.00 ,254.00 ,0.00 ,22.00 ,,07/01/2019,06/30/2021
ID,MORT_30_STK,Death rate for stroke patients,1.00 ,10.00 ,0.00 ,22.00 ,,07/01/2019,06/30/2022
OK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,35.00 ,1.00 ,22.00 ,,04/01/2019,03/31/2022
AL,PSI_14,Postoperative wound dehiscence rate,0.00 ,45.00 ,0.00 ,22.00 ,,07/01/2019,06/30/2021
AL,PSI_04,Death rate among surgical inpatients with serious treatable complications,3.00 ,25.00 ,0.00 ,21.00 ,,07/01/2019,06/30/2021
TX,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.00 ,251.00 ,3.00 ,21.00 ,,07/01/2019,06/30/2021
OR,MORT_30_STK,Death rate for stroke patients,1.00 ,36.00 ,0.00 ,21.00 ,,07/01/2019,06/30/2022
ND,MORT_30_PN,Death rate for pneumonia patients,0.00 ,23.00 ,1.00 ,21.00 ,,07/01/2019,06/30/2022
NM,MORT_30_AMI,Death rate for heart attack patients,0.00 ,11.00 ,0.00 ,21.00 ,,07/01/2019,06/30/2022
PA,MORT_30_PN,Death rate for pneumonia patients,0.00 ,129.00 ,11.00 ,21.00 ,,07/01/2019,06/30/2022
UT,MORT_30_HF,Death rate for heart failure patients,0.00 ,23.00 ,1.00 ,21.00 ,,07/01/2019,06/30/2022
AL,MORT_30_PN,Death rate for pneumonia patients,7.00 ,60.00 ,1.00 ,20.00 ,,07/01/2019,06/30/2022
AZ,MORT_30_PN,Death rate for pneumonia patients,2.00 ,53.00 ,4.00 ,20.00 ,,07/01/2019,06/30/2022
NC,MORT_30_COPD,Death rate for COPD patients,2.00 ,83.00 ,0.00 ,20.00 ,,07/01/2019,06/30/2022
NJ,PSI_04,Death rate among surgical inpatients with serious treatable complications,2.00 ,40.00 ,1.00 ,20.00 ,,07/01/2019,06/30/2021
TN,PSI_13,Postoperative sepsis rate,2.00 ,49.00 ,0.00 ,20.00 ,,07/01/2019,06/30/2021
VA,MORT_30_STK,Death rate for stroke patients,2.00 ,53.00 ,3.00 ,20.00 ,,07/01/2019,06/30/2022
AZ,MORT_30_STK,Death rate for stroke patients,0.00 ,39.00 ,1.00 ,20.00 ,,07/01/2019,06/30/2022
VA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,48.00 ,1.00 ,20.00 ,,04/01/2019,03/31/2022
WA,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,41.00 ,2.00 ,20.00 ,,04/01/2019,03/31/2022
WV,MORT_30_HF,Death rate for heart failure patients,0.00 ,32.00 ,0.00 ,20.00 ,,07/01/2019,06/30/2022
FL,MORT_30_HF,Death rate for heart failure patients,5.00 ,148.00 ,14.00 ,19.00 ,,07/01/2019,06/30/2022
NC,MORT_30_STK,Death rate for stroke patients,2.00 ,75.00 ,1.00 ,19.00 ,,07/01/2019,06/30/2022
WA,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,25.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2021
AZ,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,34.00 ,1.00 ,19.00 ,,07/01/2019,06/30/2021
MS,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,17.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2021
OK,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,55.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2021
PA,PSI_14,Postoperative wound dehiscence rate,0.00 ,117.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2021
TN,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,43.00 ,1.00 ,19.00 ,,04/01/2019,03/31/2022
WV,MORT_30_COPD,Death rate for COPD patients,0.00 ,32.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2022
WY,MORT_30_COPD,Death rate for COPD patients,0.00 ,9.00 ,0.00 ,19.00 ,,07/01/2019,06/30/2022
MN,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,17.00 ,1.00 ,18.00 ,,07/01/2019,06/30/2021
NJ,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,41.00 ,0.00 ,18.00 ,,04/01/2019,03/31/2022
PA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,120.00 ,0.00 ,18.00 ,,07/01/2019,06/30/2021
IL,PSI_14,Postoperative wound dehiscence rate,0.00 ,108.00 ,0.00 ,18.00 ,,07/01/2019,06/30/2021
ME,MORT_30_STK,Death rate for stroke patients,0.00 ,15.00 ,0.00 ,18.00 ,,07/01/2019,06/30/2022
SC,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,31.00 ,1.00 ,18.00 ,,04/01/2019,03/31/2022
UT,MORT_30_AMI,Death rate for heart attack patients,0.00 ,11.00 ,2.00 ,18.00 ,,07/01/2019,06/30/2022
WY,MORT_30_STK,Death rate for stroke patients,0.00 ,6.00 ,0.00 ,18.00 ,,07/01/2019,06/30/2022
TN,MORT_30_PN,Death rate for pneumonia patients,6.00 ,74.00 ,4.00 ,17.00 ,,07/01/2019,06/30/2022
NY,MORT_30_HF,Death rate for heart failure patients,2.00 ,122.00 ,21.00 ,17.00 ,,07/01/2019,06/30/2022
PA,PSI_11,Postoperative respiratory failure rate,2.00 ,116.00 ,3.00 ,17.00 ,,07/01/2019,06/30/2021
NM,MORT_30_HF,Death rate for heart failure patients,1.00 ,22.00 ,1.00 ,17.00 ,,07/01/2019,06/30/2022
KS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,38.00 ,2.00 ,17.00 ,,04/01/2019,03/31/2022
LA,PSI_14,Postoperative wound dehiscence rate,0.00 ,57.00 ,0.00 ,17.00 ,,07/01/2019,06/30/2021
PA,PSI_13,Postoperative sepsis rate,0.00 ,120.00 ,0.00 ,17.00 ,,07/01/2019,06/30/2021
TN,PSI_14,Postoperative wound dehiscence rate,0.00 ,60.00 ,0.00 ,17.00 ,,07/01/2019,06/30/2021
TX,PSI_03,Pressure ulcer rate,12.00 ,270.00 ,4.00 ,16.00 ,,07/01/2019,06/30/2021
NY,MORT_30_PN,Death rate for pneumonia patients,6.00 ,126.00 ,18.00 ,16.00 ,,07/01/2019,06/30/2022
LA,PSI_11,Postoperative respiratory failure rate,2.00 ,57.00 ,0.00 ,16.00 ,,07/01/2019,06/30/2021
ME,MORT_30_COPD,Death rate for COPD patients,0.00 ,18.00 ,0.00 ,16.00 ,,07/01/2019,06/30/2022
NY,PSI_14,Postoperative wound dehiscence rate,0.00 ,128.00 ,0.00 ,16.00 ,,07/01/2019,06/30/2021
OR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,31.00 ,0.00 ,16.00 ,,04/01/2019,03/31/2022
OR,MORT_30_HF,Death rate for heart failure patients,0.00 ,43.00 ,1.00 ,16.00 ,,07/01/2019,06/30/2022
OR,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,13.00 ,1.00 ,16.00 ,,07/01/2019,06/30/2021
FL,PSI_11,Postoperative respiratory failure rate,13.00 ,133.00 ,4.00 ,15.00 ,,07/01/2019,06/30/2021
FL,PSI_13,Postoperative sepsis rate,4.00 ,143.00 ,2.00 ,15.00 ,,07/01/2019,06/30/2021
TN,PSI_11,Postoperative respiratory failure rate,4.00 ,52.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
LA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,58.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
OH,MORT_30_PN,Death rate for pneumonia patients,1.00 ,123.00 ,12.00 ,15.00 ,,07/01/2019,06/30/2022
TN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,1.00 ,55.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
AR,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,26.00 ,0.00 ,15.00 ,,04/01/2019,03/31/2022
KS,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,14.00 ,2.00 ,15.00 ,,07/01/2019,06/30/2021
KY,PSI_14,Postoperative wound dehiscence rate,0.00 ,46.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
LA,PSI_13,Postoperative sepsis rate,0.00 ,58.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
MA,MORT_30_AMI,Death rate for heart attack patients,0.00 ,39.00 ,2.00 ,15.00 ,,07/01/2019,06/30/2022
ME,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,12.00 ,0.00 ,15.00 ,,04/01/2019,03/31/2022
OK,PSI_14,Postoperative wound dehiscence rate,0.00 ,49.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
UT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,9.00 ,0.00 ,15.00 ,,07/01/2019,06/30/2021
FL,MORT_30_PN,Death rate for pneumonia patients,9.00 ,147.00 ,19.00 ,14.00 ,,07/01/2019,06/30/2022
IL,PSI_11,Postoperative respiratory failure rate,8.00 ,96.00 ,1.00 ,14.00 ,,07/01/2019,06/30/2021
AL,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,52.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2021
NM,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,13.00 ,0.00 ,14.00 ,,04/01/2019,03/31/2022
AL,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,54.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2021
ID,MORT_30_PN,Death rate for pneumonia patients,0.00 ,26.00 ,1.00 ,14.00 ,,07/01/2019,06/30/2022
IL,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,41.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2022
IL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,105.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2021
LA,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,69.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2021
MS,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,19.00 ,0.00 ,14.00 ,,04/01/2019,03/31/2022
NH,MORT_30_AMI,Death rate for heart attack patients,0.00 ,11.00 ,0.00 ,14.00 ,,07/01/2019,06/30/2022
OR,MORT_30_PN,Death rate for pneumonia patients,0.00 ,43.00 ,2.00 ,14.00 ,,07/01/2019,06/30/2022
WV,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,20.00 ,0.00 ,14.00 ,,04/01/2019,03/31/2022
MO,MORT_30_PN,Death rate for pneumonia patients,6.00 ,83.00 ,6.00 ,13.00 ,,07/01/2019,06/30/2022
FL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,4.00 ,146.00 ,1.00 ,13.00 ,,07/01/2019,06/30/2021
IL,PSI_13,Postoperative sepsis rate,3.00 ,100.00 ,1.00 ,13.00 ,,07/01/2019,06/30/2021
NC,MORT_30_HF,Death rate for heart failure patients,3.00 ,87.00 ,3.00 ,13.00 ,,07/01/2019,06/30/2022
WV,MORT_30_PN,Death rate for pneumonia patients,3.00 ,36.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
AL,PSI_13,Postoperative sepsis rate,1.00 ,35.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
IA,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,12.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
MN,PSI_14,Postoperative wound dehiscence rate,1.00 ,34.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
SC,MORT_30_STK,Death rate for stroke patients,1.00 ,41.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
AK,MORT_30_AMI,Death rate for heart attack patients,0.00 ,5.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
AK,MORT_30_HF,Death rate for heart failure patients,0.00 ,7.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
AL,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,57.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
FL,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,66.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
GA,PSI_14,Postoperative wound dehiscence rate,0.00 ,75.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
KY,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,40.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
LA,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.00 ,69.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
ME,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,3.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2021
UT,MORT_30_PN,Death rate for pneumonia patients,0.00 ,32.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
WY,MORT_30_AMI,Death rate for heart attack patients,0.00 ,4.00 ,0.00 ,13.00 ,,07/01/2019,06/30/2022
KY,MORT_30_PN,Death rate for pneumonia patients,6.00 ,72.00 ,3.00 ,12.00 ,,07/01/2019,06/30/2022
AL,PSI_11,Postoperative respiratory failure rate,3.00 ,36.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
AR,MORT_30_PN,Death rate for pneumonia patients,3.00 ,60.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2022
KY,PSI_11,Postoperative respiratory failure rate,3.00 ,37.00 ,1.00 ,12.00 ,,07/01/2019,06/30/2021
GA,PSI_15,Abdominopelvic accidental puncture or laceration rate,2.00 ,82.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
NV,MORT_30_STK,Death rate for stroke patients,2.00 ,15.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2022
AL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1.00 ,34.00 ,0.00 ,12.00 ,,04/01/2019,03/31/2022
IN,MORT_30_PN,Death rate for pneumonia patients,1.00 ,97.00 ,2.00 ,12.00 ,,07/01/2019,06/30/2022
LA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,69.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
MD,PSI_04,Death rate among surgical inpatients with serious treatable complications,1.00 ,29.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
AL,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,39.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
KS,PSI_14,Postoperative wound dehiscence rate,0.00 ,33.00 ,0.00 ,12.00 ,,07/01/2019,06/30/2021
MS,PSI_11,Postoperative respiratory failure rate,3.00 ,30.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
MS,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,31.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
KY,PSI_13,Postoperative sepsis rate,1.00 ,39.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
WY,MORT_30_HF,Death rate for heart failure patients,1.00 ,15.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2022
ID,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,21.00 ,0.00 ,11.00 ,,04/01/2019,03/31/2022
MI,PSI_14,Postoperative wound dehiscence rate,0.00 ,79.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
MO,PSI_14,Postoperative wound dehiscence rate,0.00 ,60.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
NV,MORT_30_AMI,Death rate for heart attack patients,0.00 ,20.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2022
OH,PSI_14,Postoperative wound dehiscence rate,0.00 ,112.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2021
SC,MORT_30_COPD,Death rate for COPD patients,0.00 ,47.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2022
UT,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,26.00 ,0.00 ,11.00 ,,04/01/2019,03/31/2022
VA,MORT_30_COPD,Death rate for COPD patients,0.00 ,71.00 ,0.00 ,11.00 ,,07/01/2019,06/30/2022
VA,PSI_11,Postoperative respiratory failure rate,6.00 ,54.00 ,1.00 ,10.00 ,,07/01/2019,06/30/2021
AK,MORT_30_PN,Death rate for pneumonia patients,1.00 ,10.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2022
AK,MORT_30_STK,Death rate for stroke patients,1.00 ,6.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2022
OK,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,59.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
OK,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,1.00 ,59.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
TX,PSI_08,In-hospital fall with hip fracture rate,1.00 ,294.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
VA,PSI_13,Postoperative sepsis rate,1.00 ,60.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
AZ,PSI_14,Postoperative wound dehiscence rate,0.00 ,54.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
IN,PSI_14,Postoperative wound dehiscence rate,0.00 ,71.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
NE,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,11.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
NM,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,8.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
SC,PSI_13,Postoperative sepsis rate,0.00 ,40.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
TX,PSI_06,Iatrogenic pneumothorax rate,0.00 ,295.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
VA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,61.00 ,0.00 ,10.00 ,,07/01/2019,06/30/2021
IN,PSI_11,Postoperative respiratory failure rate,10.00 ,62.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
NC,MORT_30_PN,Death rate for pneumonia patients,9.00 ,84.00 ,4.00 ,9.00 ,,07/01/2019,06/30/2022
IN,PSI_10,Postoperative acute kidney injury requiring dialysis rate,3.00 ,69.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
PA,PSI_15,Abdominopelvic accidental puncture or laceration rate,3.00 ,127.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
SC,PSI_11,Postoperative respiratory failure rate,3.00 ,37.00 ,1.00 ,9.00 ,,07/01/2019,06/30/2021
GA,PSI_13,Postoperative sepsis rate,2.00 ,69.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
PA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,2.00 ,131.00 ,1.00 ,9.00 ,,07/01/2019,06/30/2021
AK,MORT_30_COPD,Death rate for COPD patients,1.00 ,9.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2022
CA,PSI_09,Postoperative hemorrhage or hematoma rate,1.00 ,280.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
CT,PSI_04,Death rate among surgical inpatients with serious treatable complications,0.00 ,16.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
HI,MORT_30_COPD,Death rate for COPD patients,0.00 ,6.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2022
MS,PSI_13,Postoperative sepsis rate,0.00 ,33.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
NH,MORT_30_STK,Death rate for stroke patients,0.00 ,17.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2022
NV,MORT_30_COPD,Death rate for COPD patients,0.00 ,27.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2022
NV,MORT_30_PN,Death rate for pneumonia patients,0.00 ,24.00 ,2.00 ,9.00 ,,07/01/2019,06/30/2022
PA,MORT_30_CABG,Death rate for CABG surgery patients,0.00 ,45.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2022
PA,PSI_09,Postoperative hemorrhage or hematoma rate,0.00 ,134.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
SC,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.00 ,42.00 ,0.00 ,9.00 ,,07/01/2019,06/30/2021
WY,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0.00 ,11.00 ,0.00 ,9.00 ,,04/01/2019,03/31/2022
GA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,4.00 ,79.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
CA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.00 ,279.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
GA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,2.00 ,70.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2021
NM,MORT_30_PN,Death rate for pneumonia patients,2.00 ,32.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2022
GA,PSI_11,Postoperative respiratory failure rate,1.00 ,70.00 ,1.00 ,8.00 ,,07/01/2019,06/30/2021
ME,MORT_30_HF,Death rate for heart failure patients,1.00 ,25.00 ,0.00 ,8.00 ,,07/01/2019,06/30/2022
